player_id,full_name,wins
49417.0,"Tu, Li",11
90274.0,"Manasse, Maegan",11
265438.0,"Deschamps, Thomas (Fra)",11
48225.0,"Dutra da Silva, Daniel",11
233686.0,"Freire Da Silva, Adan",11
201681.0,"Cui, Jie",11
220801.0,"Niemeier, Jule",11
207034.0,"Tseng, Chun Hsin",11
236833.0,"Romero Gormaz, Leyre",11
256033.0,"Jones, Miles",11
238147.0,"Henning, Philip",11
204776.0,"Alves, Mateus",11
26120.0,"Marino, Rebecca",11
36595.0,"Kudla, Denis",11
38180.0,"Mena, Facundo",11
44417.0,"Bosio, Victoria",11
253353.0,"Ku, Yeon Woo",11
414229.0,"Agwi, Michael",11
208225.0,"Squire, Henri",11
452586.0,"Aguilar Cardozo, Joaquin",11
101157.0,"Rybakov, Alex",11
264980.0,"Cocciaretto, Elisabetta",11
15858.0,"Elias, Gastão",11
195437.0,"Vismane, Daniela",11
333004.0,"Castagnola, Luca",11
340741.0,"Gueymard Wayenburg, Sascha",11
232036.0,"Boyer, Tristan",10
245531.0,"Fernandez Flores, Diego",10
297139.0,"Aboian, Valerio",10
25838.0,"Goffin, David",10
96239.0,"Durasovic, Viktor",10
295674.0,"Steur, Joelle Lilly Sophie",10
240100.0,"Tikhonova, Anastasia",10
329576.0,"Simonit, Ezequiel",10
244419.0,"Vylegzhanin, Nikolay",10
265632.0,"Zakaryia, Faris",10
320723.0,"Szabanin, Natalia",10
341859.0,"Baroni, Niccolo",10
119140.0,"Ellis, Blake",10
25822.0,"Shapatava, Sofia",10
100341.0,"Bolkvadze, Mariam",10
383987.0,"Gea, Arthur",10
119216.0,"Herrero Linana, Alicia",10
169370.0,"Bolla, Andrea",10
85877.0,"Villanueva, Gonzalo",10
207593.0,"Brancaccio, Nuria",10
42839.0,"Barthel, Mona",10
288575.0,"Martynov, Diana",10
207050.0,"Holt, Brandon",10
297194.0,"Ito, Aoi",10
318258.0,"Berecoechea, Nahia",10
138452.0,"Shibahara, Ena",10
226810.0,"Potenza, Luca",10
374578.0,"Naef, Celine",10
308084.0,"Darderi, Luciano",10
135192.0,"Rame, Alice",10
141892.0,"Carlé, María Lourdes",10
71034.0,"Šrámková, Rebecca",10
221383.0,"Otegui, Juan Bautista",10
460257.0,"Ghazouani Durand, Yanis",10
303908.0,"Cigarran, Thiago",10
67757.0,"Pera, Bernarda",10
146040.0,"Gomez, Federico Agustin",10
340742.0,"Bertrand, Robin",10
234309.0,"Wong, Hong Yi Cody",10
448232.0,"Nishimura, Kayo",10
377363.0,"Serafini, Marcello",10
152762.0,"Kuczer, Daria",10
300559.0,"Glushkova, Denislava",10
217835.0,"Iannaccone, Federico",10
316468.0,"Ružić, Antonia",10
298618.0,"Yamanaka, Taiyo",10
96237.0,"Pieri, Jessica",10
20732.0,"Plíšková, Karolína",10
341820.0,"Rocha, Henrique",10
215775.0,"Da Silva Fick, Gabriella",10
170964.0,"Bittoun Kouzmine, Constantin",10
213059.0,"Hilderbrand, Trey",10
258324.0,"Purtseladze, Saba",10
385592.0,"Butvilas, Edas",10
185388.0,"Humbert, Ugo",10
89476.0,"Wiersholm, Henrik",10
204755.0,"Ganz, Fiona",10
280837.0,"Inoue, Hina",10
269909.0,"Guillen Meza, Alvaro",10
105063.0,"Gavrilă, Oana",10
281443.0,"Lopez, Noah",10
281447.0,"Alcala Gurri, Max",10
269291.0,"Forejtek, Jonas",10
181062.0,"Kung, Leonie",10
44553.0,"Herbert, Pierre Hugues",10
278083.0,"D'Agostino, Stefano",10
48626.0,"Giustino, Lorenzo",10
46273.0,"Dinu, Cristina",10
193290.0,"Jones, Francesca",10
206602.0,"Tabur, Clement",10
287181.0,"Burruchaga, Roman Andres",10
197935.0,"Imamura, Masamichi",10
88290.0,"Bejenaru, Karola Patricia",10
177686.0,"Barranco Cosano, Javier",10
175014.0,"Moutet, Corentin",10
190877.0,"Guerrieri, Andrea",10
113979.0,"Ficovich, Juan Pablo",9
232459.0,"Hindova, Denisa",9
113847.0,"Alibalić, Nina",9
90110.0,"Serdarušić, Nino",9
115463.0,"Tiurnev, Evgenii",9
223130.0,"Osuigwe, Whitney",9
67759.0,"Alexandrova, Ekaterina",9
